data,nome,preco,ano,km,cilindradas,marca,tipo,cidade,cod,url
02/05 ,HONDA CG 2010,5000,2010,46000,150,HONDA,CG,Nova Era,1027721973,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg150-2010-unico-dono-1027721973
02/05 ,SHINERAY XY 50,3000,2012,6400,50,SHINERAY,XY,Betim,1027721411,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/shineray-xy-1027721411
02/05 ,SHINERAY XY 50,N/A,N/A,,125,SHINERAY,XY,Belo Horizonte,N/A,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-titan-es-2013-partida-eletrica-excelente-estado-de-conservacao-1027720142
02/05 ,HONDA CG 125 FAN ES 2013,7900,2013,67000,125,HONDA,CG,Belo Horizonte,1027720142,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-titan-es-2013-partida-eletrica-excelente-estado-de-conservacao-1027720142
02/05 ,HONDA CG 150 FAN ESDI/ 150 FAN ESDI FLEX 2010,5000,2010,60000,Acima de 1.000,HONDA,CG,Betim,1027718428,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-1027718428
02/05 ,HONDA CG 125 2013,7500,2013,1000,125,HONDA,CG,Ibirité,948523889,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-125-12x716-00-cartao-948523889
02/05 ,KAWASAKI NINJA 250R 2012,6500,2012,40000,250,KAWASAKI,NINJA,Sabará,1027713064,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-250-cc-1027713064
02/05 ,HONDA CG 150 TITAN,5000,2010,46000,200,HONDA,CG,Belo Horizonte,1027704605,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/honda-cg-150-2010-1027704605
02/05 ,HONDA CG 125 FAN ES 2013,7800,2013,45000,125,HONDA,CG,Betim,1027692493,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vendo-fan-125-es-12-13-1027692493
02/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2011,5800,2011,15000,125,HONDA,CG,Contagem,1027691615,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-125-fan-1027691615
02/05 ,HONDA CG 2010,4800,2010,62000,125,HONDA,CG,Ribeirão das Neves,1027679858,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-125-2010-1027679858
02/05 ,HONDA LEAD 110 2010,6500,2010,71000,100,HONDA,LEAD,Contagem,1027657724,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-lead-2010-1027657724
02/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2012,6200,2012,82314,125,HONDA,CG,Contagem,1027640697,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-fan-125-ks-1027640697
02/05 ,HONDA CG 150 TITAN,6000,2012,10000,150,HONDA,CG,Belo Horizonte,1027634180,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/2012-honda-cg-150-1027634180
02/05 ,HONDA CG 125 FAN ESD 2015,7400,2015,70000,125,HONDA,CG,Belo Horizonte,1027633566,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-2014-15-1027633566
02/05 ,YAMAHA YBR 125 FACTOR K/ FACTOR K1 2011,5000,2011,98000,125,YAMAHA,YBR,Belo Horizonte,1027595388,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vendo-factor-2011-1027595388
02/05 ,HONDA CG 150 TITAN,7000,2013,10000,150,HONDA,CG,Belo Horizonte,1027585858,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/2013-honda-cg-150-titan-1027585858
02/05 ,HONDA  2011,5300,2011,872554,125,HONDA,,Sarzedo,1027585615,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-ks-125-2011-pedal-1027585615
02/05 ,YAMAHA TT,7900,2010,20000,250,YAMAHA,TT-R,Belo Horizonte,1027584766,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/ttr-230-1027584766
02/05 ,HONDA CG 150 TITAN,6000,2010,1000000,150,HONDA,CG,Mateus Leme,1027560401,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-titan-150-2010-moto-de-trabalho-1027560401
02/05 ,KASINSKI MIRAGE 150 2011,4700,2011,50000,150,KASINSKI,MIRAGE,Igarapé,1027557709,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-custom-1027557709
02/05 ,HONDA CG 2010,7000,2010,55000,125,HONDA,CG,Belo Horizonte,1027553627,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-125-1027553627
02/05 ,HONDA CG 150 TITAN,4500,2010,84000,150,HONDA,CG,Sete Lagoas,1027536393,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-150-1027536393
02/05 ,2012,7200,2012,33000,100,,,Belo Horizonte,1027487783,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/honda-lead-2012-troco-por-pcx-1027487783
02/05 ,SHINERAY XY 150,3500,2012,14000,150,SHINERAY,XY,Ribeirão das Neves,1027507564,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/shineray-explorer-150cc-1027507564
02/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2013,7700,2013,0,125,HONDA,CG,Belo Horizonte,1027502775,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-fan-125-2013-1027502775
02/05 ,KAWASAKI Z 750 2011,2800,2011,5000,750,KAWASAKI,Z,Belo Horizonte,1027501481,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/eixo-do-vilabrequim-da-kawazaki-z750-1027501481
02/05 ,KASINSKI COMET GT,7000,2011,37000,250,KASINSKI,COMET,Jaboticatubas,1027501402,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/kasinski-comet-gtr-250-1027501402
02/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2012,7000,2012,28000,125,HONDA,CG,Belo Horizonte,1027494426,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moro-1027494426
02/05 ,YAMAHA  2012,7250,2012,0,250,YAMAHA,,Lagoa Santa,1027489954,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/ttr230-com-nota-fiscal-1027489954
02/05 ,DAFRA APACHE 150CC 2012,3500,2012,120,150,DAFRA,APACHE,Betim,1027489077,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/dafra-apache-150-11-12-1027489077
02/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2011,7500,2011,57000000,125,HONDA,CG,Betim,1027483616,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vanda-ou-troca-1027483616
02/05 ,DAFRA APACHE 150CC 2012,6800,2012,50153,150,DAFRA,APACHE,Santa Luzia,1027461485,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/dafra-apache-2012-revisada-1027461485
02/05 ,HONDA CG 150 TITAN,8000,2010,135000,150,HONDA,CG,Belo Horizonte,1027445901,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/titan-mix-2010-ks-pedal-1027445901
02/05 ,HONDA XRE 190 2018,4300,2018,20000,200,HONDA,XRE,Santa Luzia,1027435233,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/xre-190-1027435233
02/05 ,HONDA PCX 150/DLX 2016,7000,2016,55000,150,HONDA,PCX,Sete Lagoas,1027432394,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/pcx-150-2016-1027432394
02/05 ,KASINSKI COMET GT,7999,2011,99999,250,KASINSKI,COMET,Belo Horizonte,1003447536,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/comet-250-doc-ok-cb-300-twister-fazer-cg-titan-xre-150-125-1003447536
02/05 ,YAMAHA YBR 125 FACTOR E 2016,6999,2016,99999,125,YAMAHA,YBR,Belo Horizonte,966286476,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/ybr-factor-16-e-partida-eletrica-riva-apache-150-cc-11-cg-titan-ybr-125-twister-cb-300-966286476
02/05 ,DAFRA SPEED 150 2010,3400,2010,81000,150,DAFRA,SPEED,Betim,1027406064,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-dafra-150-speed-1027406064
02/05 ,YAMAHA YBR 125 FACTOR ED/FACTOR EDITION 2012,6999,2012,66000,125,YAMAHA,YBR,Belo Horizonte,1027390762,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/ybr-factor-ed-2012-1027390762
02/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2011,7500,2011,45000,125,HONDA,CG,Belo Horizonte,1027360742,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/honda-cg-fan-125-la-ano-2011-1027360742
02/05 ,YAMAHA YBR 125 K 2012,5300,2012,79080,125,YAMAHA,YBR,Belo Horizonte,1027321171,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/factor-125-1027321171
02/05 ,2011,7900,2011,1,125,,,Contagem,1027320978,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-fan-ks-1027320978
01/05 ,YAMAHA YBR 125 FACTOR E 2012,5000,2012,130000,125,YAMAHA,YBR,Betim,1027311081,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/factor-125-1027311081
01/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2011,6500,2011,0,125,HONDA,CG,Santa Luzia,1027285591,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-125-2011-so-troco-em-carro-1027285591
01/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2012,6500,2012,79000,125,HONDA,CG,Sabará,1027270983,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-125-1027270983
01/05 ,KASINSKI WIN ELECTRA 1000W (ELETRICA) 2011,7000,2011,200,50,KASINSKI,WIN,Contagem,1027270237,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/scooter-eletrica-moto-eletrica-1027270237
01/05 ,HONDA CG 125 CARGO/ CARGO KS/125I CARGO 2013,6700,2013,51000,125,HONDA,CG,Belo Horizonte,1027268475,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/titan-125-1027268475
01/05 ,HONDA CG 150 TITAN,8000,2010,0,150,HONDA,CG,Ibirité,1027268046,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-150-2010-r-8-000-00-1027268046
01/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2012,6600,2012,0,125,HONDA,CG,Vespasiano,1027264520,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fam-125-ks-2011-2012-1027264520
01/05 ,HONDA XRE 300/ 300 ABS/ FLEX 2013,7000,2013,12345678,300,HONDA,XRE,Ouro Preto,1027243174,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/xre-300-300-abs-flex-pendencia-no-documento-1027243174
